"id","idDetalle","idPedido","codFabrica","codArticulo","cant","cantRecibida","created_at","updated_at"
"22","4","7","113","00","100","","2017-07-05 01:23:20","2017-07-05 01:23:20"
"29","11","7","113","0","1","","2017-07-05 01:36:54","2017-07-05 01:36:54"
"30","12","7","375","/0044","1","","2017-07-05 01:37:52","2017-07-05 01:37:52"
"31","13","7","113","0","1","","2017-07-05 01:38:36","2017-07-05 01:38:36"
"35","17","7","113","0","1","","2017-07-05 01:50:15","2017-07-05 01:50:15"
"37","19","7","113","0","1","","2017-07-05 01:50:36","2017-07-05 01:50:36"
"38","20","7","375","/0044","10","","2017-07-05 01:50:44","2017-07-05 23:11:05"
"39","21","7","113","0","1","","2017-07-05 01:51:04","2017-07-05 01:51:04"
"41","23","7","375","/0044","1","","2017-07-05 01:52:14","2017-07-05 23:28:44"
"44","26","7","375","/0044","25","","2017-07-05 01:54:12","2017-07-05 23:28:53"
"46","28","7","504","00001","100","","2017-07-05 01:54:20","2017-07-05 23:54:05"
"48","30","7","113","00","1","","2017-07-05 01:54:49","2017-07-05 01:54:49"
"49","31","7","113","0","1","","2017-07-05 01:55:54","2017-07-05 01:55:54"
"50","32","7","113","0","10","","2017-07-05 01:55:58","2017-07-05 01:55:58"
"52","34","7","375","/0044","100","60","2017-07-05 21:53:31","2017-07-06 01:02:14"
"53","34","7","113","0","1","","2017-07-05 21:53:31","2017-07-05 21:53:31"
"55","36","7","113","0","1","","2017-07-05 22:04:10","2017-07-05 22:04:10"
"56","37","7","113","00","1","","2017-07-05 22:04:12","2017-07-05 22:04:12"
"60","39","7","375","00002","15","","2017-07-05 23:58:04","2017-07-05 23:58:04"
"61","40","7","375","00002","10","","2017-07-05 23:58:55","2017-07-05 23:58:55"
"62","41","7","4","0005","15","","2017-07-05 23:58:58","2017-07-05 23:58:58"
"64","43","7","446","005","1","","2017-07-06 01:00:57","2017-07-06 01:00:57"
"65","44","7","321","0050","1","","2017-07-06 01:01:04","2017-07-06 01:01:04"
"66","45","7","321","0053","150","","2017-07-06 01:01:16","2017-07-06 01:01:16"
"67","46","7","321","0052","160","","2017-07-06 01:01:20","2017-07-06 01:01:20"
