"Cod. Fabrica";Fabrica;"Cod. Articulo";Descripcion;Rubro;Importe
004;FELKO;1086;"FIAT-PEUGEOT-RENAULT TECHO RE-";ANTENA;450.58
004;FELKO;1086N;"FIAT-PEUGEOT-RENAULT TECHO RE-";ANTENA;450.58
004;FELKO;2087;"FORD ESCORT-VW GACEL-SENDA-FIA";ANTENA;450.58
004;FELKO;2086;"PEUGEOT MOD.EUROPEO TECHO REGU";ANTENA;450.58
004;FELKO;2086N;"FIAT-PEUGEOT-RENAULT- TECHO RE";ANTENA;450.58
004;FELKO;2086C;"FIAT-PEUGEOT-RENAULT- TECHO RE";ANTENA;450.58
004;FELKO;2087N;"VOLKSWAGEN GACEL DE TECHO ORI-";ANTENA;450.58
004;FELKO;2088;"PEUGEOT 405-205-306/RENAULT 21";ANTENA;450.58
004;FELKO;0014;"FIAT TEMPRA-VW GOL-POINTER GTI";ANTENA;602.21
004;FELKO;0015;"SIMIL 0014 ECONOMICA";ANTENA;461.70
004;FELKO;2089;"FIAT TIPO ORIGINAL";ANTENA;450.58
004;FELKO;2090;"FORD FIESTA-MONDEO-ESCORT 97";ANTENA;347.22
004;FELKO;2092;"PEUGEOT BOXER";ANTENA;341.02
004;FELKO;2094;"PEUGEOT/CITROEN ORIGINAL FIBRA";ANTENA;446.98
004;FELKO;2095;"PEUGEOT 2205-206-306-405-406 /";ANTENA;446.98
004;FELKO;2091;"RENAULT MEGANE-EXPRESS";ANTENA;341.02
004;FELKO;2093;"RENAULT KANGOO S/CABLE";ANTENA;341.02
004;FELKO;2098;"FIAT PALIO-SIENA DE TECHO";ANTENA;246.40
004;FELKO;1128;"VOLKSWAGEN 1500 ORIGINAL";ANTENA;356.06
004;FELKO;1130;"VOLKSWAGEN GACEL DELANTERA ORI";ANTENA;497.32
004;FELKO;1132;"VOLKSWAGEN GACEL TRASERA ORIGI";ANTENA;642.95
004;FELKO;1097;"FORD ESCORT ORIGINAL GUARDABA-";ANTENA;662.44
004;FELKO;1096;"FORD SIERRA ORIGINAL";ANTENA;662.44
004;FELKO;1094;"FORD P.UP VARILLA ACERO INOXI-";ANTENA;662.44
004;FELKO;1152;"RENAULT TRAFIC";ANTENA;606.01
004;FELKO;1098;"CHEVROLET P.UP D/85 ORIGINAL";ANTENA;662.44
004;FELKO;4006;"CHEVROLET P.UP C20-D20 ORIGI-";ANTENA;497.32
004;FELKO;4036;"CHEVETTE ORIGINAL";ANTENA;497.32
004;FELKO;4063;"CHEVROLET MONZA ORIGINAL";ANTENA;497.32
004;FELKO;4065;"CHEVROLET KADETT ORIGINAL";ANTENA;497.32
004;FELKO;4067;"CHEVROLET P.UP LUV TODAS ORIGI";ANTENA;497.32
004;FELKO;4068;"CHEVROLET CORSA BERLINA 4PTAS.";ANTENA;497.32
004;FELKO;6700N;"ANTENA 1086 NEGRA";"VARILLA DE ANTENA";170.01
004;FELKO;6700C;"ANTENA 1086 CROMADA";"VARILLA DE ANTENA";170.01
004;FELKO;6701;"PEUGEOT-RENAULT-CITROEN FIBRA";"VARILLA DE ANTENA";170.01
004;FELKO;6702;"PEUGEOT-RENAULT-CITROEN ORIGI-";"VARILLA DE ANTENA";170.01
004;FELKO;6703;"ANTENA 2087 PEUGEOT-FIAT-RENAU";"VARILLA DE ANTENA";170.01
004;FELKO;6704;"ANTENA 2088 PEUGEOT-FIAT-RENAU";"VARILLA DE ANTENA";170.01
004;FELKO;6705;"ANTENA 0014 GOL GTI-POLO-CORSA";"VARILLA DE ANTENA";207.32
004;FELKO;6707NEGRA;"ANTENA 2086 /FIAT-PEUGEOT";"VARILLA DE ANTENA";170.01
004;FELKO;6707CROMADA;"ANTENA 2086 /FIAT-PEUGEOT";"VARILLA DE ANTENA";170.01
004;FELKO;6653;"PEUGEOT 306 ORIGINAL";"CABLE DE ANTENA";143.56
004;FELKO;6654;"PEUGEOT 306 ORIGINAL";"CABLE DE ANTENA";143.56
004;FELKO;6655;"PEUGEOT 306 ORIGINAL";"CABLE DE ANTENA";190.26
004;FELKO;6656;"RENAULT KANGOO ORIGINAL";"CABLE DE ANTENA";190.26
004;FELKO;6657;"RENAULT KANGOO ORIGINAL";"CABLE DE ANTENA";190.26
004;FELKO;6658;"PEUGEOT 206 ORIGINAL";"CABLE DE ANTENA";190.26
004;FELKO;6659;"PEUGEOT 405 ORIGINAL";"CABLE DE ANTENA";190.26
004;FELKO;6716;"MASTIL FIBRA VIDRIO (ANT.ACTIV";"VARILLA DE ANTENA";244.64
004;FELKO;6708;"FORD KA MASTIL 55CM";"VARILLA DE ANTENA";170.01
004;FELKO;6709;"RENAULT KANGOO MASTIL 70CM";"VARILLA DE ANTENA";170.01
004;FELKO;6710;"PEUGEOT BOXER MASTIL 45CM";"VARILLA DE ANTENA";207.32
004;FELKO;6711;"CHEVROLET P.UP SILVERADO 80CM";"VARILLA DE ANTENA";207.32
004;FELKO;6715;"RENAULT TWINGO FIBRA DE VIDRIO";"VARILLA DE ANTENA";244.64
004;FELKO;6613;"DERIVADOR PARA 2 EQUIPOS";"CABLE DE ANTENA";79.15
004;FELKO;6612;"PROLONGADOR 320CM";"CABLE DE ANTENA";109.33
004;FELKO;6600;"ADAPTADOR FICHA DIN A CONECTOR";"FICHAS ANTENA";152.42
004;FELKO;6601;"ADAPTADOR FICHA HEMBRA A FICHA";"FICHAS ANTENA";88.03
