004,3010,UNIVERSAL 900 MM 4 TRAMOS zzzz                               ,ANTENA              ,FELKO                                   , 10.50,          43.35
004,3008,UNIVERSAL 1200 MM 4 TRAMOS zzzzzz                            ,ANTENA              ,FELKO                                   , 10.50,          67.23
004,5010,UNIVERSAL 900 MM 3 TRAMOS zzzzzzz                            ,ANTENA              ,FELKO                                   , 10.50,          39.07
004,1014,UNIVERSAL REFORZADA     zzzzzzzzzzz                          ,ANTENA              ,FELKO                                   , 10.50,          76.80
004,1056,FIBRA VIDRIO 1300MM     zzzzzzzzzzzz                         ,ANTENA              ,FELKO                                   , 10.50,         101.96
004,1057,FIBRA DE VIDRIO TOP 1300MM C/  RESORTE                       ,ANTENA              ,FELKO                                   , 21.00,         110.16
004,1058,DE FIBRA VIDRIO 1800 MM                                      ,ANTENA              ,FELKO                                   , 21.00,         110.99
004,1059,FIBRA DE VIDRIO TOP 1800MM C/  RESORTE                       ,ANTENA              ,FELKO                                   , 21.00,         119.30
004,1091,FIBRA DE VIDRIO REGULABLE COLO RES FLUO 55CM                 ,ANTENA              ,FELKO                                   , 21.00,          91.97
004,3086,ECONOMICA DE TECHO REGULABLE   BASE RECTANGULAR              ,ANTENA              ,FELKO                                   , 21.00,          44.63
004,1086,FIAT-PEUGEOT-RENAULT TECHO RE- GULABLE CROMADA ORIGINAL      ,ANTENA              ,FELKO                                   , 21.00,          41.02
004,1086N       ,FIAT-PEUGEOT-RENAULT TECHO RE- GULABLE NEGRA ORIGINAL        ,ANTENA              ,FELKO                                   , 21.00,          41.02
004,2087,FORD ESCORT-VW GACEL-SENDA-FIA T-PEUGEOT- TECHO REGU.ORIGI.  ,ANTENA              ,FELKO                                   , 21.00,          54.88
004,2086,PEUGEOT MOD.EUROPEO TECHO REGU -LABLE ORIGINAL               ,ANTENA              ,FELKO                                   , 21.00,          41.02
004,2086N       ,FIAT-PEUGEOT-RENAULT- TECHO RE -GULABLE MOD.EUROPEO ORIGINAL ,ANTENA              ,FELKO                                   , 21.00,          41.02
004,2087N       ,VOLKSWAGEN GACEL DE TECHO ORI- GINAL                         ,ANTENA              ,FELKO                                   , 21.00,          54.88
004,2088,PEUGEOT 405-205-306/RENAULT 21 REGULABLE ORIGINAL            ,ANTENA              ,FELKO                                   , 21.00,          54.88
